epoch,step,min,max,mean,std
1,10000,-0.0005519101396203041,0.0005579452263191342,1.214615537037389e-07,3.536033182172105e-05
2,20000,-0.0012083889450877905,0.001624625758267939,-5.220479124545818e-07,7.467198884114623e-05
3,30000,-0.0011078156530857086,0.000868850271217525,-2.4373734959226567e-06,6.82300451444462e-05
4,40000,-0.0003908762300852686,0.0003414975362829864,-7.457062451976526e-07,2.583209607109893e-05
5,50000,-0.001101769506931305,0.001182533334940672,-2.350457180000376e-07,5.019830496166833e-05
6,60000,-0.0002873018092941493,0.00036487908801063895,-4.857988642470445e-07,2.1829302568221465e-05
7,70000,-0.0003843537997454405,0.0003515767166391015,-1.1964853001700249e-06,2.2208396330825053e-05
8,80000,-0.0003766411973629147,0.0003695549094118178,-7.294235615518119e-07,2.0350449631223455e-05
9,90000,-0.000273364334134385,0.00015426673053298146,-5.570715870817367e-07,1.3534781828639098e-05
10,100000,-0.0001599760289536789,0.00017439246585126966,1.0095543245824956e-07,1.1897496733581647e-05
