epoch,step,min,max,mean,std
1,10000,-0.0006456858245655894,0.0019947965629398823,5.901612530578859e-05,0.0002054467040579766
2,20000,-0.001257915049791336,0.003231134731322527,7.745632319711149e-05,0.0003290045715402812
3,30000,-0.0022849400993436575,0.00038974752533249557,-0.00010379371815361083,0.0002856859937310219
4,40000,-0.0009662144002504647,0.000265672046225518,-4.598265149979852e-05,0.0001372905826428905
5,50000,-0.002492793370038271,0.00032981287222355604,-7.532299059676006e-05,0.00025945770903490484
6,60000,-0.0009438504930585623,0.00031818909337744117,-1.7895479686558247e-05,0.00010540416406001896
7,70000,-0.0003437315463088453,0.0015808823518455029,2.6296796932001598e-05,0.00013915120507590473
8,80000,-0.0007974070031195879,0.0008033231715671718,-1.684095877863001e-05,0.00010924528760369867
9,90000,-0.0005190131487324834,0.0002758546906989068,-2.5086157620535232e-05,7.316427218029276e-05
10,100000,-0.00031049587414599955,0.00039652304258197546,-3.5517432479537092e-06,5.612798122456297e-05
