epoch,step,min,max,mean,std
1,10000,-0.00042653174023143947,0.00029995437944307923,-4.102333605260355e-06,8.701265323907137e-05
2,20000,-0.0010987452697008848,0.0006644729874096811,-1.9735642126761377e-05,0.0001846560771809891
3,30000,-0.0006560126203112304,0.0005405524279922247,1.1012375580321532e-06,0.0001784979976946488
4,40000,-0.00016922230133786798,0.00021354272030293941,1.679228830653301e-06,5.685189535142854e-05
5,50000,-0.0005546528263948858,0.0004357249417807907,6.672006747976411e-06,0.00010770344670163468
6,60000,-0.00033753065508790314,0.00022821481979917735,-2.30911746257334e-06,6.16763936704956e-05
7,70000,-0.00018230969726573676,0.00034233328187838197,2.7164737730345223e-06,5.951246203039773e-05
8,80000,-0.00011834620090667158,0.0002593750541564077,1.3959692068965524e-06,5.1594150136224926e-05
9,90000,-0.00016738130943849683,0.00013485662930179387,4.244890078552999e-06,4.062655716552399e-05
10,100000,-9.778488310985267e-05,9.709018195280805e-05,-4.844828254135791e-06,3.350795668666251e-05
