epoch,step,min,max,mean,std
1,10000,-0.0014702863991260529,0.0014693473931401968,-5.109870357955515e-07,0.00010738353739725426
2,20000,-0.00791170820593834,0.004967071581631899,-1.0435787771712057e-05,0.00025660646497271955
3,30000,-0.005683571565896273,0.004550144542008638,9.056065550794301e-07,0.00024968149955384433
4,40000,-0.001250579603947699,0.001485557178966701,8.773936883699207e-07,7.622360863024369e-05
5,50000,-0.005453087389469147,0.0038321970496326685,-6.928107154635654e-07,0.00017302221385762095
6,60000,-0.0027290387079119682,0.0016961933579295874,-1.9468842538117315e-07,9.160935587715358e-05
7,70000,-0.001838690834119916,0.0032434703316539526,1.3977522712593782e-06,9.750161552801728e-05
8,80000,-0.0012301481328904629,0.0024920410942286253,-2.79412319059702e-07,7.763550092931837e-05
9,90000,-0.0011396631598472595,0.0009411326027475297,8.656789418637345e-07,5.116328611620702e-05
10,100000,-0.0009552942356094718,0.0007906566024757922,-2.8697425022983225e-06,5.1615392294479534e-05
