epoch,step,min,max,mean,std
1,10000,-1.174642784462776e-05,0.003281631739810109,0.0016349426005035639,0.0016466890228912234
2,20000,-5.250718118077202e-07,0.0041258386336266994,0.002062656683847308,0.0020631819497793913
3,30000,-0.00640491209924221,-6.707916327286512e-05,-0.0032359955366700888,0.003168916329741478
4,40000,-0.004168549552559853,6.448870408348739e-06,-0.002081050304695964,0.0020874992478638887
5,50000,-0.004476012196391821,-9.613462316337973e-05,-0.0022860735189169645,0.0021899389103055
6,60000,-0.0007579816738143563,0.00010351859236834571,-0.0003272315370850265,0.0004307501367293298
7,70000,-1.8855702364817262e-05,0.0014200799632817507,0.0007006121450103819,0.0007194678764790297
8,80000,-0.0010121515952050686,-0.00014451370225287974,-0.0005783326341770589,0.00043381896102800965
9,90000,-0.0009332181070931256,-0.00014638503489550203,-0.000539801549166441,0.00039341652882285416
10,100000,1.228400014952058e-05,9.561362094245851e-05,5.3948810091242194e-05,4.1664810851216316e-05
